70,Khain  door jabdin dhal jaye sanjh ki dulhan,  ANAND,https://www.youtube.com/watch?v=JnOZokO7RSg&list=PLBE9CC2nHEJRuo2uTvC4njKUWgfrpkKhk&index=3
70,Kehdoon tumhe ya chup rahun dil me mere aaj kya hai,DEEWAR,https://www.youtube.com/watch?v=4hrDu-LzyIM&list=PLBE9CC2nHEJRuo2uTvC4njKUWgfrpkKhk&index=4
70,Ab ke sajan mein sawan mein aag la ge gi badanme, CHUPKE CHUPKE,https://www.youtube.com/watch?v=PIYIuRL9ztA&list=PLBE9CC2nHEJRuo2uTvC4njKUWgfrpkKhk&index=5
70,Ek din sapane me mein dekha ek sapna, GOLMAAL,https://www.youtube.com/watch?v=tVOcCadxQOg&list=PLBE9CC2nHEJRuo2uTvC4njKUWgfrpkKhk&index=6
70,Jiska mujhe tha intezar jis ke liye dil tha bekarar, DON,https://www.youtube.com/watch?v=HxX8oQ5KFig&list=PLBE9CC2nHEJRuo2uTvC4njKUWgfrpkKhk&index=7
70,Jis Gali mein Tera ghar na ho balama,  KATI PATANG,https://www.youtube.com/watch?v=c0hr0ezoLnI&list=PLBE9CC2nHEJRuo2uTvC4njKUWgfrpkKhk&index=8
70,Ek raastda hai zindagi jo tham gaye to kuch nahi, KAALA PATTHAR,https://www.youtube.com/watch?v=gwOpf1P_SEk&list=PLBE9CC2nHEJRuo2uTvC4njKUWgfrpkKhk&index=9
70,Rajani gandha Phool tumhare meheke yu hi jeevan me, RAJANIGANDHA,https://www.youtube.com/watch?v=E69ZB56nXXQ&list=PLBE9CC2nHEJRuo2uTvC4njKUWgfrpkKhk&index=10
70,Main Shahir to nahin magar aye  haseen, BOBBY, https://www.youtube.com/watch?v=yVH45NTon34&list=PLBE9CC2nHEJRuo2uTvC4njKUWgfrpkKhk&index=11
70,Mausam hai ashiquana ai dil kahi se unko,Pakeeza,https://www.youtube.com/watch?v=8b1ixkhTtBU&list=PLBE9CC2nHEJRuo2uTvC4njKUWgfrpkKhk&index=12
70,Is mod se jaate hain kuch shust qadam raste, AANDHI,https://www.youtube.com/watch?v=vLC8pftyY7U&list=PLBE9CC2nHEJRuo2uTvC4njKUWgfrpkKhk&index=13
70,Banake kyun bigada  re bigada re naseeba, ZANJEER,https://www.youtube.com/watch?v=bucZpx-R-cE&list=PLBE9CC2nHEJRuo2uTvC4njKUWgfrpkKhk&index=14
70,Dekha na hai re socha na hai re rakha de nisane pe, BOMBAY TO GOA,https://www.youtube.com/watch?v=GtyxLFFE5nU&list=PLBE9CC2nHEJRuo2uTvC4njKUWgfrpkKhk&index=15
70,Nafrat karne walon ke cine me pyaar bhar doon, JOHNY MERA NAAM,https://www.youtube.com/watch?v=SebtYn-N81Q&list=PLBE9CC2nHEJRuo2uTvC4njKUWgfrpkKhk&index=16
70,Sunja ai thandi hawa tham ja ai kali ghata ,HATHI MERE SATHI,https://www.youtube.com/watch?v=C5bQa3IU2Lw&list=PLBE9CC2nHEJRuo2uTvC4njKUWgfrpkKhk&index=17
70,Maina Na Bhoolunga Maina Na bhoolungi in rasamonko in kasamon ko in riste naatonko,ROTI KAPDA AUR MAKAN,https://www.youtube.com/watch?v=h3eICeAQHAY&list=PLBE9CC2nHEJRuo2uTvC4njKUWgfrpkKhk&index=18
70,Jeevan se bhari teri aankhen majboor kare jeene ke liye, SAFAR,https://www.youtube.com/watch?v=S31UNx92u4s&list=PLBE9CC2nHEJRuo2uTvC4njKUWgfrpkKhk&index=19
70,Karvaten badalte rahein saari raat hum aap ki kasam ,AAP KI KASAM,https://www.youtube.com/watch?v=TUbGeoh71G8&list=PLBE9CC2nHEJRuo2uTvC4njKUWgfrpkKhk&index=20
70,Pal pal Dil Ke paas jeevan meethi pyaas, BLACK MAIL,https://www.youtube.com/watch?v=pw6r-izZArA&list=PLBE9CC2nHEJRuo2uTvC4njKUWgfrpkKhk&index=21
70,Gum hai kisse pyar mein dil subha shyam phir tuhme likha nahi pawoon, RAMPUR KA LAKSHMAN,https://www.youtube.com/watch?v=sZkDEJsXpn0&list=PLBE9CC2nHEJRuo2uTvC4njKUWgfrpkKhk&index=22
70,Bhanware ki gunjan hai mera dil kab sw sambale rakha hai dil,Kal Aaj Aur Kal, https://www.youtube.com/watch?v=2JDvFCs52bI&list=PLBE9CC2nHEJRuo2uTvC4njKUWgfrpkKhk&index=23
70,Yeh Jawani hai diwani ha meri rani ruk ja o rani,JAWANI DEEWANI,https://www.youtube.com/watch?v=rsYBGlqNzsE&list=PLBE9CC2nHEJRuo2uTvC4njKUWgfrpkKhk&index=24
70,Yaadon ki Baarat nikle hai ajj dik ke dwaare, HUM KISISE KUM NAHIN,https://www.youtube.com/watch?v=yoZYBlMRUv4&list=PLBE9CC2nHEJRuo2uTvC4njKUWgfrpkKhk&index=25
80,Mere umar ke Navjawano dil na lagana, KARZ,https://www.youtube.com/watch?v=dKVMv7j0J78&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=2&t=0s
80,Rang Jamake jayenge chakkar chalke jayenge, NASEEB,https://www.youtube.com/watch?v=1XUWEDbbRDE&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=2
80,Tum se milke aisa laga, PARINDA,https://www.youtube.com/watch?v=7XPMGmtSs0w&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=3
80,Papa Kahte hai apna naam karega, QUAYMAT SE QUAYMAT, https://www.youtube.com/watch?v=6M18osBfI8w&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=4                    
80,Bhanware ne khilaya phool phool ko legaya raj kunwar, PREM ROG,https://www.youtube.com/watch?v=BaKJW_b5XyU&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=5
80,Kaate nahin kati ye din ye raat, MR INDIA,https://www.youtube.com/watch?v=rA76zIAvTUM&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=6
80,Sola baras ki bali umar, EK DUJE KE LIYE,https://www.youtube.com/watch?v=tj8uaUtdZS4&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=7
80,Chehara hai ya chaand khila hai zulf ghaneheri chavn hai kya, SAGAR,https://www.youtube.com/watch?v=ZHsIqLYEoK0&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=8
80,Nindiya se jaagi Bahar aaisa mausam dekha peheli baar , HERO,https://www.youtube.com/watch?v=7I9DyOLlneQ&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=9
80,Neele Neele ambar pe chaand jab aaye,KALAAKAR,https://www.youtube.com/watch?v=wv8n2li3DOA&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=10
80,Laila ho Laila aaise ho laila har koi ,QURBANI,https://www.youtube.com/watch?v=hy6abF6Fmrk&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=11
80,De de pyar de pyar de de pyar, SHARAABI,https://www.youtube.com/watch?v=JJw0ZaIez2M&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=12
80,Pyar Hame kis mod pe laya, SATTE PE SATTE,https://www.youtube.com/watch?v=_ciGClDWoMs&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=13
80,Parbat se Kaali Ghata Takraee, CHADNI,https://www.youtube.com/watch?v=HrdFobOTpys&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=14
80,Parbat ke us paar, SARGAM,https://www.youtube.com/watch?v=ktKWDNbCrcM&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=15
80,Jawan e Janeman Haseen dilruba, NAMAK HALAL,https://www.youtube.com/watch?v=xgObdGT89Aw&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=16
80,Apne to Jaise taise, LAWARIS,https://www.youtube.com/watch?v=ox-I5Zbs-Gw&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=17
80,Sow gaya yeh jahan sow gaya aasman, TEZAAB,https://www.youtube.com/watch?v=Tu2IzRWEsHg&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=18
80,Lambuji Lambuji bolo tinguji ,COOLIE,https://www.youtube.com/watch?v=xpMVst6O9SA&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=19
80,Mera karma Tu mera dharma ,KARMA,https://www.youtube.com/watch?v=h8-hCprJzZ8&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=20
80,Janu Meri Jaan mai tere kurban, SHAAN,https://www.youtube.com/watch?v=3wCcRe5axAA&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=21
80,I am a disco dancer, DISCO DANCER,https://www.youtube.com/watch?v=L83sWbguD_E&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=22
80,Dekho maine dekha hai ek sapna, LOVESTORY,https://www.youtube.com/watch?v=-G7mZD4iv2s&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=23
80,Yeh kahan aagye hum tere saath saath jal ke ,SILSILA,https://www.youtube.com/watch?v=xCOOlXvuo14&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=24
80,Dil Cheez kya hain aap meri Jaan li jiye, UMRAO JAAN,https://www.youtube.com/watch?v=ViGVRzeLMlY&list=PLBE9CC2nHEJSiB29_xd80MFo3rVESfjSq&index=25
